OBJECTID,PUIC,NAAM,DIENSTREGELPUNT_TYPE,LANDCODE,STATIONSGROOTTE,HEEFT_TANKPLAATS,HEEFT_WERKPLAATS,BLOKPUNT_INDICATIE,BEDIEND,AFKORTING,DOORKOMST_VERPLICHT,BEDIENINGSCODE,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_T,OFFSET,OFFSET_T,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,GELDIG_VANAF,PUBLICATIEDATUM,PPLG_PUIC,PPLG_NAAM,VLPOST_PUIC,VLPOST_NAAM,PPLG_OMSCHRIJVING,VLPOST_OMSCHRIJVING,LATITUDE,LONGITUDE,KM_GEOCODE
1,224e4220-f518-4343-89e1-0a7437f73d6e,Zoetermeer Oost,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Ztmo,Ja,Stop-station,Gd-Gvc,Gouda - Den Haag Centraal ,"12,823001",-0.385657,"-0,385657",107,,107,107__,Moordrecht Aansl. - Den Haag Binckhorst,ProRail,Randstad Zuid,RZ,Baan,Den Haag,110,Den Haag,2,VolkerRail,93650,451274,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,d4975498-6f9a-4f52-93f7-ada3b5b836ad,ZTMO,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Zoetermeer Oost,Den Haag HS,52.04638439,4.49288434,12.823001
2,951fbc4c-56d9-49ee-9144-8069d20c11fc,Voorburg,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Vb,Ja,Stop-station,Gd-Gvc,Gouda - Den Haag Centraal ,"22,347731",0.076921,"0,076921",107,,107,107__,Moordrecht Aansl. - Den Haag Binckhorst,ProRail,Randstad Zuid,RZ,Baan,Den Haag,110,Den Haag,2,VolkerRail,84566,453626,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,,Den Haag HS,52.06644194,4.35999842,22.347731
3,d4cb321c-5af9-4f94-93b2-842810a22901,Den Haag Binckhorst,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Bkh,Ja,Goederen emplacement,Bkh-Gv,Den Haag Binckhorst - Den Haag HS ,"100,044463",-0.168959,"-0,168959",564,d,564,564_d,Den Haag Binckhorst,ProRail,Randstad Zuid,RZ,Baan,Den Haag,110,Den Haag,2,VolkerRail,83167,454394,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,78125bc9-75e5-41d1-9585-d4eee139a25f,BKH,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Den Haag Binckhorst,Den Haag HS,52.07316422,4.33943715,100.044463
4,8ef36ac8-5f33-456b-bf85-6e654d33c9bf,Grijpskerk aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Gka,Ja,OA Overloop-aansluiting,Hlg-Nscg,Harlingen - Nieuweschans Grens ,"63,550265",0.440704,"0,440704",002,,2,002__,Leeuwarden - Groningen,ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,218167,585873,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,cf9c42f1-c9d9-493d-8c47-2a54aee013bb,GKA,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Grijpskerk aansl.,Groningen,53.25567759,6.33368986,63.550265
5,381751cc-2730-415b-be73-e182e709be15,"Reitdiep, brug o/h - bij Groningen",Brug,Nederland,Onbekend,Nee,Nee,Nee,Nee,Rdp,Ja,BR Beweegbare brug,Gn-Dz,Groningen - Delfzijl ,"2,551296",-0.000763,"-0,000763",006,,6,006__,Groningen - Sauwerd,ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,232153,582211,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.22094419,6.54233628,2.551296
6,c0b18037-9276-499c-99bf-583bfe7feea9,Wildervank,Station,Nederland,Onbekend,Nee,Nee,Nee,Nee,Wdv,Nee,Stop-station,Skn-Zb,Stadskanaal Hoofdstation - Zuidbroek ,"12,385978",-0.340684,"-0,340684",305,,305,305__,Stadskanaal Hoofdstation - Zuidbroek,Derden - Overig - STAR,Noord-Oost,NO,Baan,Drenthe,440,Drenthe,35,ASSET Rail,254400,567341,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.08369598,6.87073666,12.385978
7,92428a84-7c1e-40fb-8f38-6bd9bbbaa33c,Bareveld,Station,Nederland,Onbekend,Nee,Nee,Nee,Nee,Brv,Nee,Stop-station,Skn-Zb,Stadskanaal Hoofdstation - Zuidbroek ,"8,745321",0.027181,"0,027181",305,,305,305__,Stadskanaal Hoofdstation - Zuidbroek,Derden - Overig - STAR,Noord-Oost,NO,Baan,Drenthe,440,Drenthe,35,ASSET Rail,253093,563938,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.05336486,6.85020579,8.745321
8,ddd3cd78-955d-40f5-a0e2-b8e52164cf24,Leeuwarden Camminghaburen,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Lwc,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,"29,700468",-0.311382,"-0,311382",002,,2,002__,Leeuwarden - Groningen,ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,185473,579602,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.20219388,5.84323773,29.700468
9,18e2bdf0-d7dd-44c2-8cd1-87fddece5346,Kropswolde,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Kw,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,"92,397868",0.207488,"0,207488",004,,4,004__,Waterhuizen Aansl. - Zuidbroek,ProRail,Noord-Oost,NO,Baan,Drenthe,440,Drenthe,35,ASSET Rail,244292,575826,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.1616974,6.72226361,92.397868
10,85e32dc0-015e-433f-996f-1e142ec65a45,"Harinxmakanaal, brug o/h van - tussen Leeuwarden en Grou-Jirnsum",Brug,Nederland,Onbekend,Nee,Nee,Nee,Nee,Hrmk,Ja,BR Beweegbare brug,Zl-Lw,Zwolle - Leeuwarden ,"164,739945",-0.083835,"-0,083835",009,,9,009__,Meppel - Leeuwarden,ProRail,Noord-Oost,NO,Baan,Wadden,420,Friesland,36,Strukton Rail,180854,577689,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.18524769,5.773962,164.739945
11,e9c464ee-7cc7-46ca-9c01-919ac39f79ff,Hurdegaryp,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Hdg,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,"36,140089",0.221975,"0,221975",002,,2,002__,Leeuwarden - Groningen,ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,191582,581517,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,25dfc365-ba12-46d0-8d73-211dddce16ee,HDG,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Hurdegaryp,Groningen,53.21901809,5.93487304,36.140089
12,5ba03538-8eb9-4696-a5a0-141b150649b3,De Westereen,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Dwe,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,"43,562802",-0.329809,"-0,329809",002,,2,002__,Leeuwarden - Groningen,ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,198233,584818,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.24818144,6.03488286,43.562802
13,7f3abbce-f331-4acd-be8a-a3bff6ba618b,Harlingen,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Hlg,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,"1,075329",-0.083392,"-0,083392",001,a,1,001_a,Harlingen Haven - Leeuwarden,ProRail,Noord-Oost,NO,Baan,Wadden,420,Friesland,36,Strukton Rail,157526,575968,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,5f4197b0-38bb-4a63-80ee-a5005fa10f85,HLG,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Harlingen,Groningen,53.17040133,5.42498039,1.075329
14,d4a8a68e-06fa-4e9f-8946-08448335d111,Roodeschool aansl.,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Rda,Ja,OA Overloop-aansluiting,Swd-Rd,Sauwerd - Roodeschool ,"26,140006",0.11731,"0,117310",200,,200,200__,Winsum - Roodeschool,ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,245755,604003,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f7c9e885-d28d-4545-9830-f56a0028b1ca,RD,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Roodeschool,Groningen,53.41457162,6.75211831,26.140006
15,e95484e8-9639-4fa5-9c58-7a78f8754640,Onnen Noord,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Onn,Ja,OA Overloop-aansluiting,Mp-Gn,Meppel - Groningen ,"70,199613",0.170782,"0,170782",011,,11,011__,Assen - Haren,ProRail,Noord-Oost,NO,Baan,Drenthe,440,Drenthe,35,ASSET Rail,237657,576323,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,415a5915-5031-42fc-88f9-b5ef2674b768,ONN,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Onnen Noord,Groningen,53.16722598,6.62321078,70.199613
16,4f7d4411-f4df-40ed-b24b-c128b2421483,Appingedam,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Apg,Ja,Stop-station,Gn-Dz,Groningen - Delfzijl ,"33,669579",-0.040159,"-0,040159",201,,201,201__,Sauwerd - Delfzijl,ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,253300,594276,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,e176905a-cc9e-4cba-9227-c8f37e7e9276,APG,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Appingedam,Groningen,53.32585895,6.86255653,33.669579
17,2e262b19-9839-42aa-b1f3-ea46e77a495f,Boterdiep,Brug,Nederland,Onbekend,Nee,Nee,Nee,Ja,Btd,Ja,BR Beweegbare brug,Gn-Dz,Groningen - Delfzijl ,"15,657961",0.211937,"0,211937",201,,201,201__,Sauwerd - Delfzijl,ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,235884,592021,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,dd0ceb8c-c51b-4e74-aaf3-44a5b6e82866,BDM,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Bedum,Groningen,53.30852387,6.60066026,15.657961
18,cd191b4f-41d0-495c-87d5-68275f70f7a2,Stavoren,Eindstation,Nederland,Klein,Nee,Nee,Ja,Ja,Stv,Ja,Stop-station,Lw-Stv,Leeuwarden - Stavoren ,"50,224042",-0.480335,"-0,480335",008,,8,008__,Leeuwarden - Stavoren,ProRail,Noord-Oost,NO,Baan,Wadden,420,Friesland,36,Strukton Rail,153195,544399,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,404b76b4-54c3-41f0-8101-ce774a124a23,STV,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Stavoren,Groningen,52.88672254,5.36039078,50.224042
19,cb3b463d-a18c-42f6-9523-5d3661e7a134,Mantgum,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Mg,Ja,Stop-station,Lw-Stv,Leeuwarden - Stavoren ,"10,015919",-0.297513,"-0,297513",008,,8,008__,Leeuwarden - Stavoren,ProRail,Noord-Oost,NO,Baan,Wadden,420,Friesland,36,Strukton Rail,176837,571528,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,56675880-7e92-4006-b51e-201dd74af205,MG,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Mantgum,Groningen,53.13006607,5.71345389,10.015919
20,6359d719-51c6-405b-a315-e50763732144,Usquert,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Ust,Ja,Stop-station,Swd-Rd,Sauwerd - Roodeschool ,"16,040089",-0.412581,"-0,412581",200,,200,200__,Winsum - Roodeschool,ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,236281,602319,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,7dc9344b-bcd4-4cb0-9b0d-23515bb7792f,UST,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Usquert,Groningen,53.4009748,6.60923793,16.040089
21,63afb329-b8a0-476f-b592-c8156cb31081,Eemshaven Industrie,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Nee,Eemi,Nee,Goederen emplacement,Rda-Eem,Rodeschool Aansl. - Eemshaven ,"6,499232",-0.348889,"-0,348889",815,a,815,815_a,Roodeschool Eemshaven,ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,249954,607899,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.44883521,6.81641417,6.499232
22,b99448df-9758-463b-9c80-7c86bef884b6,Wijmertsbrug - tussen IJlst en Workum,Brug,Nederland,Onbekend,Nee,Nee,Nee,Nee,Wmb,Ja,BR Beweegbare brug,Lw-Stv,Leeuwarden - Stavoren ,"25,641829",-0.162335,"-0,162335",008,,8,008__,Leeuwarden - Stavoren,ProRail,Noord-Oost,NO,Baan,Wadden,420,Friesland,36,Strukton Rail,169729,558143,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.01003182,5.60665231,25.641829
23,2b689110-c74f-4124-a5c3-eaa328dc5071,Vught aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Vga,Ja,OA Overloop-aansluiting,Ut-Btl,Utrecht Centraal - Boxtel ,"51,052319",0.237757,"0,237757",515,b,515,515_b,Vught Aansl.,ProRail,Zuid,Z,Baan,Betuwe,320,Den Bosch,21,Strukton Rail,148329,408207,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,cd4cb504-ef06-4528-8460-2b9a60e16ed2,VGA,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Vught Aansluiting,Eindhoven,51.66263935,5.29078286,51.052319
24,a4055e07-ced3-4258-9014-8a343989758b,Tilburg ind. terr.,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Tbi,Ja,Goederen emplacement,Tb-Vga,Tilburg - Vught Aansluiting ,"3,920906",0.035414,"0,035414",124,a,124,124_a,Tilburg - Vught Aansl.,ProRail,Zuid,Z,Baan,Betuwe,320,Den Bosch,21,Strukton Rail,136848,398935,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,6e0056f9-c860-4066-a6ba-067ab9af88b1,TBI,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Tilburg ind. terr.,Eindhoven,51.5790442,5.12532683,3.920906
25,96e46055-c613-4e24-83b1-fe4c4c526faf,Helmond Brandevoort,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Hmbv,Ja,Stop-station,Vl-Ehv,Venlo - Eindhoven ,"42,269421",0.185079,"0,185079",055,,55,055__,Blerick - Eindhoven,ProRail,Zuid,Z,Baan,De Peel,300,Eindhoven,24,ASSET Rail,170433,385968,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,,Eindhoven,51.46256977,5.60927805,42.269421
26,8ed96a2c-1be5-486e-9bc2-8e6a9c024bbe,Griendtsveen overloopw.,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Grvn,Ja,OA Overloop-aansluiting,Vl-Ehv,Venlo - Eindhoven ,"19,649573",-0.394556,"-0,394556",055,,55,055__,Blerick - Eindhoven,ProRail,Zuid,Z,Baan,De Peel,300,Venlo,27,ASSET Rail,192364,383711,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f0a955a4-2dc7-4282-a196-649ed5b1c74c,GRVN,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Griendtsveen overloopw.,Eindhoven,51.44125525,5.92461112,19.649573
27,f2f9a5e8-7197-4b91-b991-7632177b4b28,Oisterwijk,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Ot,Ja,Stop-station,Bd-Ehv,Breda - Eindhoven ,"30,186673",-0.36433,"-0,364330",125,,125,125__,Tilburg - Boxtel,ProRail,Zuid,Z,Baan,Brabant,330,Boxtel,23,ASSET Rail,141558,399254,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,,Eindhoven,51.58204393,5.19326406,30.186673
28,93e71bbd-dd53-42be-b722-cf9c1ef88487,Gekkengraaf,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Gkgf,Ja,Goederen emplacement,Vl-Ehv,Venlo - Eindhoven ,"8,930557",0.186746,"0,186746",055,,55,055__,Blerick - Eindhoven,ProRail,Zuid,Z,Baan,De Peel,300,Venlo,27,ASSET Rail,202411,380724,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a2ad7c21-9898-43b9-a51b-7f05208ee9f5,GKGF,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Gekkengraaf,Eindhoven,51.41365211,6.06870801,8.930557
29,4bea0157-4d30-41d0-8505-c3a27b8db3f8,Blerick ECT,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Brect,Nee,Goederen emplacement,Vl-Ehv,Venlo - Eindhoven ,"2,629796",0.162236,"0,162236",055,,55,055__,Blerick - Eindhoven,ProRail,Zuid,Z,Baan,De Peel,300,Venlo,27,ASSET Rail,207460,376954,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,4d1577cb-43e3-4fb3-aea2-7479d151ddba,BR,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Blerick,Eindhoven,51.37932027,6.14071925,2.629796
30,e1963f52-7ea2-4107-8c30-3c456d21081a,Boxmeer,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Bmr,Ja,Stop-station,Ah-Vl,Arnhem - Venlo ,"41,489600",0.213242,"0,213242",052,,52,052__,Beugen - Blerick,ProRail,Zuid,Z,Baan,De Peel,300,Venlo,27,ASSET Rail,193215,406315,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,890118d8-5646-478e-9286-209d35ac498a,BMR,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Boxmeer,Eindhoven,51.64436892,5.93931567,41.4896
31,cc0dec55-e4a8-4ec1-90a2-46c7e68eca24,Mook Molenhoek,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Mmlh,Ja,Stop-station,Ah-Vl,Arnhem - Venlo ,"26,348155",-0.543663,"-0,543663",049,,49,049__,Nijmegen - Beugen,ProRail,Noord-Oost,NO,Baan,Gelre,400,Maas en Waal,28,ASSET Rail,189000,420035,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,33da359b-68a4-4639-ad78-479daf173100,MMLH,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Mook Molenhoek,Eindhoven,51.7679588,5.8797636,26.348155
32,09bf5d65-4e84-4508-9712-9f783539c00f,Tilburg,Station,Nederland,Groot,Nee,Ja,Ja,Ja,Tb,Ja,IC Intercity-station,Bd-Ehv,Breda - Eindhoven ,"22,135421",-0.265134,"-0,265134",551,b,551,551_b,Tilburg,ProRail,Zuid,Z,Baan,Brabant,330,Breda,20,ASSET Rail,133933,396906,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,cfc30233-466f-44ec-820e-e97caedf87ae,TB,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Tilburg,Eindhoven,51.56070483,5.08339541,22.135421
33,04e780ac-fff7-4390-a259-78b47b1b1a09,Liempde,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Lpe,Ja,OA Overloop-aansluiting,Bd-Ehv,Breda - Eindhoven ,"42,794597",-0.052355,"-0,052355",054,a,54,054_a,Boxtel - Eindhoven,ProRail,Zuid,Z,Baan,Brabant,330,Boxtel,23,ASSET Rail,152163,396421,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,4b014708-f529-4f56-a551-abe45d081bac,LPE,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Liempde,Eindhoven,51.55673264,5.34629183,42.794597
34,04fdf0ce-1680-4fa5-b4b3-60f88c9b68c5,Amsterdam Lijnwerkplaats Zuid,Goederen Emplacement,Nederland,Onbekend,Nee,Ja,Nee,Ja,Aswplz,Nee,Goederen emplacement,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,"78,859927",0.28706,"0,287060",525,b,525,525_b,Amsterdam Singelgracht Aansl.,Derden - Overig - NS Onderhoud & Service (vastgesteld op 17-04-2018),Randstad Noord,RN,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,120240,489066,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f5cb0b4b-fc48-4ce6-bddb-3e5f7860059d,SGRA,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Singelgracht aansl.,Amsterdam Centraal,52.38834644,4.87659738,78.859927
35,df598a16-1fb4-42fb-8f21-6ab2f4d0d670,Amsterdam Lelylaan,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Asdl,Ja,Stop-station,Sgra-Asra,Amsterdam Singelgracht Aansl. - Amsterdam Riekerpolder Aansl. ,"55,975421",0.32965,"0,329650",145,,145,145__,Amsterdam Sloterdijk - Amsterdam Riekerpolder,ProRail,Randstad Noord,RN,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,117315,485698,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,1d784230-cb8a-4dd4-adb6-2fdc36256678,ASDL,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Lelylaan,Amsterdam Centraal,52.35788448,4.83401026,55.975421
36,bb99482a-ceca-4575-82ba-5ed5124075a5,Almere Oostvaarders,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Almo,Ja,Stop-station,Wp-Llso,Weesp - Lelystad Opstel. ,"21,895643",0.11706,"0,117060",135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,ProRail,Randstad Noord,RN,Baan,Amstelsepoort,230,Weesp,11,Strukton Rail,149105,490607,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,0402757a-c09a-4f9c-8a28-fe3c30d47356,ALMO,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Almere Oostvaarders,Amsterdam Centraal,52.4032652,5.30058017,21.895643
37,1340b9db-9553-4223-968e-e7261d3d65e0,Amsterdam Bijlmer ArenA,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Asb,Ja,Stop-station,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,"5,900068",-0.534345,"-0,534345",535,a,535,535_a,Amsterdam Bijlmer Arena,ProRail,Randstad Noord,RN,Baan,Amstelsepoort,230,Duivendrecht,10,Strukton Rail,125052,480468,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,604f0025-fa95-42de-86bf-14fcec4b1f76,ASB,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Bijlmer,Amsterdam Centraal,52.31135659,4.9480461,5.900068
38,5ba76678-711e-4648-a9aa-9295e66d76df,Amsterdam Dijksgracht Oostzijde,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Dgro,Ja,OA Overloop-aansluiting,Asd-Zp,Amsterdam Centraal - Zutphen ,"2,555000",-0.298161,"-0,298161",588,,588,588__,Amsterdam Dijksgracht,ProRail,Randstad Noord,RN,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,124081,487087,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,16c48c65-978f-4f30-bd62-2499665dad57,ASDM,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Muiderpoort,Amsterdam Centraal,52.37079028,4.93319981,2.555
39,7ea19260-dcac-498f-bf9d-8ca395f47d79,Amsterdam Dijksgracht,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Nee,Dgr,Nee,Goederen emplacement,Asd-Zp,Amsterdam Centraal - Zutphen ,"1,790313",-0.230499,"-0,230499",588,,588,588__,Amsterdam Dijksgracht,ProRail,Randstad Noord,RN,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,123584,487570,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,,Amsterdam Centraal,52.37510296,4.92585714,1.790313
40,fc85ccac-cd2f-43ec-9852-f01571f3a96b,Amsterdam Muiderpoort aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Asdma,Ja,OA Overloop-aansluiting,Asd-Zp,Amsterdam Centraal - Zutphen ,"2,956228",0.310146,"0,310146",588,,588,588__,Amsterdam Dijksgracht,ProRail,Randstad Noord,RN,Baan,Amstelsepoort,230,Duivendrecht,10,Strukton Rail,124015,486699,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,16c48c65-978f-4f30-bd62-2499665dad57,ASDM,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Muiderpoort,Amsterdam Centraal,52.36729947,4.93226649,2.956228
41,5d12075c-4ecc-407d-8f81-4f43e02745a3,Almere Muziekwijk,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Almm,Ja,Stop-station,Wp-Llso,Weesp - Lelystad Opstel. ,"13,067267",0.130279,"0,130279",135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,ProRail,Randstad Noord,RN,Baan,Amstelsepoort,230,Weesp,11,Strukton Rail,141614,486665,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,,Amsterdam Centraal,52.36770473,5.19066257,13.067267
42,1ae61aab-5f9d-43e9-8a29-cf09554798c8,Wgm HSA Onderhoudsloods,Aansluiting,Nederland,Onbekend,Nee,Ja,Nee,Nee,Wgmhsa,Nee,Goederen emplacement,Wgm-Dmn,Watergraafsmeer - Diemen ,"904,991056",-0.408463,"-0,408463",927,,927,927__,Watergraafsmeer,Derden - Overig - NS Onderhoud & Service (vastgesteld op 03-04-2018),Randstad Noord,RN,Baan,Amstelsepoort,230,Weesp,11,Strukton Rail,125031,485334,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,,Amsterdam Centraal,52.3550881,4.94730507,904.991056
